"Date","InCount","outlier"
"2013-08-08","139525",2
"2014-08-08","138385",2
"2015-08-08","181098",2
"2016-08-08","150446",2
"2009-09-08","157630",2
"2010-09-08","149764",2
"2011-09-08","130677",2
"2012-09-08","176499",2
"2013-09-08","91712",2
"2014-09-08","135037",2
"2015-09-08","141825",2
"2016-09-08","156221",2
"2009-10-08","179769",2
"2010-10-08","171887",2
"2011-10-08","207884",2
"2012-10-08","126348",2
"2013-10-08","128326",2
"2014-10-08","137655",2
"2015-10-08","141103",2
"2016-10-08","241669",2
"2009-11-08","123413",2
"2010-11-08","119584",2
"2011-11-08","129771",2
"2012-11-08","142381",2
"2013-11-08","142784",2
"2014-11-08","193307",2
"2015-11-08","102722",2
"2016-11-08","143515",2
"2009-12-08","226365",2
"2010-12-08","191808",2
"2011-12-08","148360",2
"2012-12-08","286462",1
"2013-12-08","140730",2
"2014-12-08","165317",2
"2015-12-08","159644",2
"2016-12-08","190376",2
"2010-01-09","185881",2
"2011-01-09","79457",2
"2012-01-09","141918",2
"2013-01-09","124335",2
"2014-01-09","113781",2
"2015-01-09","118011",2
"2016-01-09","192748",2
"2017-01-09","119729",2
"2010-02-09","152305",2
"2011-02-09","135902",2
"2012-02-09","132523",2
"2013-02-09","215448",2
"2014-02-09","86013",2
"2015-02-09","120648",2
"2016-02-09","125234",2
"2017-02-09","134548",2
"2010-03-09","152335",2
"2011-03-09","121938",2
"2012-03-09","157215",2
"2013-03-09","208197",2
"2014-03-09","111168",2
"2015-03-09","124777",2
"2016-03-09","106750",2
"2010-04-09","199724",2
"2011-04-09","210167",2
"2012-04-09","93621",2
"2013-04-09","178686",2
"2014-04-09","149376",2
"2015-04-09","161178",2
"2016-04-09","181347",2
"2010-05-09","95571",2
"2011-05-09","132466",2
"2012-05-09","135218",2
"2013-05-09","122697",2
"2014-05-09","140581",2
"2015-05-09","184227",2
"2016-05-09","134301",2
"2010-06-09","127854",2
"2011-06-09","152629",2
"2012-06-09","172743",2
"2013-06-09","97735",2
"2014-06-09","124927",2
"2015-06-09","130744",2
"2016-06-09","145224",2
"2010-07-09","170213",2
"2011-07-09","217736",2
"2012-07-09","135061",2
"2013-07-09","125624",2
"2014-07-09","156277",2
"2015-07-09","143582",2
"2016-07-09","181796",2
"2009-08-09","93978",2
"2010-08-09","147791",2
"2011-08-09","153605",2
"2012-08-09","146690",2
"2013-08-09","132504",2
"2014-08-09","180344",2
"2015-08-09","99474",2
"2016-08-09","148522",2
"2009-09-09","168388",2
"2010-09-09","153521",2
"2011-09-09","150845",2
"2012-09-09","89640",2
"2013-09-09","128315",2
"2014-09-09","138513",2
"2015-09-09","135982",2
"2016-09-09","165571",2
"2009-10-09","181440",2
"2010-10-09","269254",1
"2011-10-09","96799",2
"2012-10-09","136411",2
"2013-10-09","123944",2
"2014-10-09","141515",2
"2015-10-09","176197",2
"2016-10-09","121866",2
"2009-11-09","173836",2
"2010-11-09","135777",2
"2011-11-09","161621",2
"2012-11-09","141438",2
"2013-11-09","206101",2
"2014-11-09","121543",2
"2015-11-09","119569",2
"2016-11-09","124599",2
"2009-12-09","227615",2
"2010-12-09","190731",2
"2011-12-09","196512",2
"2012-12-09","138916",2
"2013-12-09","157561",2
"2014-12-09","160840",2
"2015-12-09","166469",2
"2016-12-09","210983",2
"2010-01-10","80288",2
"2011-01-10","125449",2
"2012-01-10","138721",2
"2013-01-10","132054",2
"2014-01-10","122936",2
"2015-01-10","160306",2
"2016-01-10","103964",2
"2017-01-10","130113",2
"2010-02-10","152222",2
"2011-02-10","160726",2
"2012-02-10","145855",2
"2013-02-10","75868",2
"2014-02-10","134044",2
"2015-02-10","120489",2
"2016-02-10","134708",2
"2017-02-10","137489",2
"2010-03-10","160857",2
"2011-03-10","126920",2
"2012-03-10","240291",2
"2013-03-10","80984",2
"2014-03-10","139030",2
"2015-03-10","151580",2
"2016-03-10","127804",2
"2010-04-10","233793",2
"2011-04-10","94580",2
"2012-04-10","162965",2
"2013-04-10","191619",2
"2014-04-10","157872",2
"2015-04-10","161448",2
"2016-04-10","88230",2
"2010-05-10","126485",2
"2011-05-10","128149",2
"2012-05-10","128602",2
"2013-05-10","131864",2
"2014-05-10","190839",2
"2015-05-10","110297",2
"2016-05-10","118615",2
"2010-06-10","143644",2
"2011-06-10","131634",2
"2012-06-10","85044",2
"2013-06-10","114842",2
"2014-06-10","149546",2
"2015-06-10","152059",2
"2016-06-10","141895",2
"2010-07-10","213552",2
"2011-07-10","88522",2
"2012-07-10","137222",2
"2013-07-10","132201",2
"2014-07-10","168059",2
"2015-07-10","143482",2
"2016-07-10","112956",2
"2009-08-10","161202",2
"2010-08-10","164816",2
"2011-08-10","133329",2
"2012-08-10","147771",2
"2013-08-10","165175",2
"2014-08-10","67178",2
"2015-08-10","129224",2
"2016-08-10","165233",2
"2009-09-10","173180",2
"2010-09-10","149797",2
"2011-09-10","188957",2
"2012-09-10","133751",2
"2013-09-10","131046",2
"2014-09-10","141053",2
"2015-09-10","140427",2
"2016-09-10","195409",2
"2009-10-10","308731",1
"2010-10-10","126154",2
"2011-10-10","109252",2
"2012-10-10","141709",2
"2013-10-10","132020",2
"2014-10-10","167151",2
"2015-10-10","207277",2
"2016-10-10","155746",2
"2009-11-10","162272",2
"2010-11-10","170007",2
"2011-11-10","170909",2
"2012-11-10","239939",2
"2013-11-10","111646",2
"2014-11-10","131967",2
"2015-11-10","142489",2
"2016-11-10","147424",2
"2009-12-10","246227",2
"2010-12-10","195160",2
"2011-12-10","330973",1
"2012-12-10","166330",2
"2013-12-10","176278",2
"2014-12-10","130627",2
"2015-12-10","151532",2
"2016-12-10","291312",1
"2010-01-11","124374",2
"2011-01-11","133980",2
"2012-01-11","140229",2
"2013-01-11","136657",2
"2014-01-11","153073",2
"2015-01-11","79280",2
"2016-01-11","133746",2
"2017-01-11","127885",2
"2010-02-11","168401",2
"2011-02-11","156589",2
"2012-02-11","210615",2
"2013-02-11","134569",2
"2014-02-11","120747",2
"2015-02-11","132088",2
"2016-02-11","142675",2
"2017-02-11","167929",2
"2010-03-11","171342",2
"2011-03-11","150467",2
"2012-03-11","102053",2
"2013-03-11","117397",2
"2014-03-11","129389",2
"2015-03-11","142419",2
"2016-03-11","155599",2
"2010-04-11","93946",2
"2011-04-11","129619",2
"2012-04-11","154921",2
"2013-04-11","165731",2
"2014-04-11","156750",2
"2015-04-11","171661",2
"2016-04-11","150339",2
"2010-05-11","142818",2
"2011-05-11","135112",2
"2012-05-11","145253",2
"2013-05-11","198692",2
"2014-05-11","98486",2
"2015-05-11","139919",2
"2016-05-11","129859",2
"2010-06-11","158220",2
"2011-06-11","209802",2
"2012-06-11","126546",2
"2013-06-11","123252",2
"2014-06-11","154433",2
"2015-06-11","147393",2
"2016-06-11","172228",2
"2010-07-11","105850",2
"2011-07-11","143189",2
"2012-07-11","153175",2
"2013-07-11","133234",2
"2014-07-11","154918",2
"2015-07-11","183309",2
"2016-07-11","139373",2
"2009-08-11","197596",2
"2010-08-11","155325",2
"2011-08-11","131958",2
"2012-08-11","163439",2
"2013-08-11","78383",2
"2014-08-11","133505",2
"2015-08-11","156042",2
"2016-08-11","166640",2
"2009-09-11","181258",2
"2010-09-11","212128",2
"2011-09-11","84840",2
"2012-09-11","139250",2
"2013-09-11","113662",2
"2014-09-11","148638",2
"2015-09-11","139087",2
"2016-09-11","114686",2
"2009-10-11","131937",2
"2010-10-11","152607",2
"2011-10-11","133062",2
"2012-10-11","150646",2
"2013-10-11","138848",2
"2014-10-11","218673",2
"2015-10-11","103786",2
"2016-10-11","156354",2
"2009-11-11","178826",2
"2010-11-11","134242",2
"2011-11-11","178881",2
"2012-11-11","103884",2
"2013-11-11","110586",2
"2014-11-11","135299",2
"2015-11-11","137212",2
"2016-11-11","168396",2
"2009-12-11","258258",1
"2010-12-11","336125",1
"2011-12-11","158317",2
"2012-12-11","178621",2
"2013-12-11","160998",2
"2014-12-11","147619",2
"2015-12-11","171467",2
"2016-12-11","170331",2
"2010-01-12","137217",2
"2011-01-12","126570",2
"2012-01-12","149091",2
"2013-01-12","167503",2
"2014-01-12","71505",2
"2015-01-12","112868",2
