"Date","InCount","BRCWeek","LocationName","Hour","Weekday","NewDate","Month","Year","Day","Day_yr","Month_yr","Week_yr","Hour_yr","week_no","X"
"133","01/01/2011",1139,52,"Commercial Street at Sharps",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"134","01/01/2011",423,52,"Commercial Street at Sharps",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"135","01/01/2011",120,52,"Commercial Street at Sharps",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"136","01/01/2011",40,52,"Commercial Street at Sharps",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"137","01/01/2011",43,52,"Commercial Street at Sharps",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"138","01/01/2011",33,52,"Commercial Street at Sharps",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"139","01/01/2011",25,52,"Commercial Street at Sharps",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"140","01/01/2011",14,52,"Commercial Street at Sharps",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"141","01/01/2011",21,52,"Commercial Street at Sharps",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"142","01/01/2011",159,52,"Headrow",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"143","01/01/2011",144,52,"Headrow",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"144","01/01/2011",116,52,"Headrow",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"145","01/01/2011",97,52,"Headrow",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"146","01/01/2011",61,52,"Headrow",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"147","01/01/2011",31,52,"Headrow",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"148","01/01/2011",18,52,"Headrow",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"149","01/01/2011",10,52,"Headrow",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"150","01/01/2011",28,52,"Headrow",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"151","01/01/2011",56,52,"Headrow",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"152","01/01/2011",100,52,"Headrow",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
