Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Date33,Date444
Leeds,Headrow,2018,February,8,Tuesday,20/02/2018,,18382,0,18382,18382,0,18382,43151,43151
Leeds,Albion Street North,2018,February,8,Wednesday,21/02/2018,,33047,0,33047,33047,0,33047,43152,43152
Leeds,Albion Street South,2018,February,8,Wednesday,21/02/2018,,20246,0,20246,20246,0,20246,43152,43152
Leeds,Briggate,2018,February,8,Wednesday,21/02/2018,,34096,0,34096,34096,0,34096,43152,43152
Leeds,"Briggate at McDonalds	",2018,February,8,Wednesday,21/02/2018,,9769,0,9769,9769,0,9769,43152,43152
Leeds,Commercial Street at Barratts,2018,February,8,Wednesday,21/02/2018,,22755,0,22755,22755,0,22755,43152,43152
Leeds,Commercial Street at Sharps,2018,February,8,Wednesday,21/02/2018,,24884,0,24884,24884,0,24884,43152,43152
Leeds,"Dortmund Square	",2018,February,8,Wednesday,21/02/2018,,21064,0,21064,21064,0,21064,43152,43152
Leeds,Headrow,2018,February,8,Wednesday,21/02/2018,,17105,0,17105,17105,0,17105,43152,43152
Leeds,Albion Street North,2018,February,8,Thursday,22/02/2018,,32083,0,32083,32083,0,32083,43153,43153
Leeds,Albion Street South,2018,February,8,Thursday,22/02/2018,,20689,0,20689,20689,0,20689,43153,43153
Leeds,Briggate,2018,February,8,Thursday,22/02/2018,,32584,0,32584,32584,0,32584,43153,43153
Leeds,"Briggate at McDonalds	",2018,February,8,Thursday,22/02/2018,,11619,11525,11619,11619,11525,11619,43153,43153
Leeds,Commercial Street at Barratts,2018,February,8,Thursday,22/02/2018,,20469,0,20469,20469,0,20469,43153,43153
Leeds,Commercial Street at Sharps,2018,February,8,Thursday,22/02/2018,,26259,0,26259,26259,0,26259,43153,43153
Leeds,"Dortmund Square	",2018,February,8,Thursday,22/02/2018,,20695,0,20695,20695,0,20695,43153,43153
Leeds,Headrow,2018,February,8,Thursday,22/02/2018,,17284,0,17284,17284,0,17284,43153,43153
Leeds,Albion Street North,2018,February,8,Friday,23/02/2018,,34285,0,34285,34285,0,34285,43154,43154
Leeds,Albion Street South,2018,February,8,Friday,23/02/2018,,20651,0,20651,20651,0,20651,43154,43154
Leeds,Briggate,2018,February,8,Friday,23/02/2018,,37148,0,37148,37148,0,37148,43154,43154
Leeds,"Briggate at McDonalds	",2018,February,8,Friday,23/02/2018,,13226,0,13226,13226,0,13226,43154,43154
Leeds,Commercial Street at Barratts,2018,February,8,Friday,23/02/2018,,21438,0,21438,21438,0,21438,43154,43154
Leeds,Commercial Street at Sharps,2018,February,8,Friday,23/02/2018,,29164,0,29164,29164,0,29164,43154,43154
Leeds,"Dortmund Square	",2018,February,8,Friday,23/02/2018,,21320,0,21320,21320,0,21320,43154,43154
